2026-toronto,Toronto,Hard,96,1000,O,20260802,20,201585,,Q,Sloane Stephens,R,170,USA,33.369,320,213,221333,,,Solana Sierra,R,,ARG,22.125,86,867,6-3 6-4,3,R128,69,0,4,50,34,23,7,9,1,3,0,8,56,28,17,11,10,3,8
2026-toronto,Toronto,Hard,96,1000,O,20260802,21,202663,,,Magda Linette,R,171,POL,34.470,65,1001,203475,,WC,Carol Zhao,R,165,CAN,31.118,,,4-6 6-1 6-4,3,R128,121,3,2,81,51,36,16,14,4,7,0,10,87,56,33,14,13,7,12
2026-toronto,Toronto,Hard,96,1000,O,20260802,22,252499,,Q,Alina Korneeva,R,,RUS,19.110,89,849,221236,,Q,Polina Kudermetova,R,,RUS,23.162,108,708,6-0 3-0 RET,3,R128,36,1,0,23,20,14,2,4,0,0,0,4,27,21,7,0,5,3,8
2026-toronto,Toronto,Hard,96,1000,O,20260802,23,220309,,,Zeynep Sonmez,R,,TUR,24.257,52,1074,201606,,WC,Rebecca Marino,R,183,CAN,35.628,339,193,7-5 6-4,3,R128,97,5,5,80,54,39,11,11,5,6,10,7,70,39,28,13,11,5,8
2026-toronto,Toronto,Hard,96,1000,O,20260802,24,215037,,Q,Kayla Day,L,173,USA,26.845,127,591,220348,,,Diane Parry,R,170,FRA,23.918,60,1011,3-6 6-3 7-5,3,R128,148,6,4,85,58,34,18,15,3,8,5,4,88,48,30,18,15,3,9
2026-toronto,Toronto,Hard,96,1000,O,20260802,25,201662,,,Karolina Pliskova,R,184,CZE,34.366,63,1006,220716,,,Oleksandra Oliynykova,R,170,UKR,25.577,44,1171,6-4 6-4,3,R128,82,4,4,71,47,31,11,10,6,9,1,6,59,31,19,11,10,3,8
2026-toronto,Toronto,Hard,96,1000,O,20260802,26,213887,,,Renata Zarazua,R,,MEX,28.838,83,894,211337,,,Tamara Korpatsch,R,170,GER,31.225,46,1134,6-4 0-6 6-1,3,R128,125,0,3,65,51,29,5,11,3,8,3,3,78,57,31,9,12,5,11
2026-toronto,Toronto,Hard,96,1000,O,20260802,27,214388,,,Anna Bondar,R,,HUN,29.183,77,936,211843,,,Anhelina Kalinina,R,179,UKR,29.481,54,1072,6-4 7-5,3,R128,126,1,3,65,41,27,10,11,1,5,0,6,83,54,26,15,11,8,14
2026-toronto,Toronto,Hard,96,1000,O,20260802,28,215910,,,Panna Udvardy,R,170,HUN,27.844,74,953,220332,,,Eva Lys,R,165,GER,24.553,85,871,2-6 7-6(3) 2-0 RET,3,R128,112,3,0,77,43,28,19,11,3,6,5,6,88,59,36,15,11,5,7
2026-toronto,Toronto,Hard,96,1000,O,20260802,29,233741,,Q,Maya Joint,R,,AUS,20.296,76,936,263857,,,Yuliia Starodubtseva,R,,UKR,26.456,62,1008,4-6 6-1 6-3,3,R128,157,3,5,104,62,33,24,13,14,18,1,5,99,63,34,15,13,7,14
2026-toronto,Toronto,Hard,96,1000,O,20260802,30,214643,,,Liudmila Samsonova,R,180,RUS,27.723,70,970,222145,,,Janice Tjen,R,,INA,24.241,37,1282,7-6(9) 7-5,3,R128,,5,6,90,48,40,15,12,8,11,1,11,93,49,32,19,12,5,9
2026-toronto,Toronto,Hard,96,1000,O,20260802,31,239436,,WC,Kayla Cross,L,,CAN,21.366,172,449,211107,,,Katie Boulter,R,180,GBR,30.001,69,987,7-6(3) 7-5,3,R128,,11,6,84,48,37,17,12,4,6,2,12,85,46,32,17,12,1,4
2026-toronto,Toronto,Hard,96,1000,O,20260802,32,214082,,,Daria Kasatkina,R,170,AUS,29.238,61,1009,216133,,,Xinyu Wang,R,182,CHN,24.849,42,1193,1-6 7-6(5) 7-5,3,R128,143,0,9,107,65,39,17,15,9,17,2,8,96,60,36,17,16,4,11
2026-toronto,Toronto,Hard,96,1000,O,20260802,33,214544,1,,Aryna Sabalenka,R,182,BLR,28.244,1,8550,220416,,Q,Moyuka Uchijima,R,171,JPN,24.975,107,713,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
2026-toronto,Toronto,Hard,96,1000,O,20260802,34,201533,,,Shuai Zhang,R,177,CHN,37.528,57,1020,211533,26,,Jelena Ostapenko,R,177,LAT,29.150,29,1592,6-0 4-0 RET,3,R64,54,1,2,31,21,19,4,6,0,0,0,8,43,14,8,7,5,9,14
2026-toronto,Toronto,Hard,96,1000,O,20260802,35,221883,,,Talia Gibson,R,,AUS,22.122,72,958,216081,18,,Maja Chwalinska,L,,POL,24.808,21,1975,7-5 6-1,3,R64,100,3,5,66,32,20,18,10,7,10,1,7,59,35,16,9,9,4,10
2026-toronto,Toronto,Hard,96,1000,O,20260802,36,206420,16,,Ekaterina Alexandrova,R,175,RUS,31.713,19,2301,215785,,,Camila Osorio,R,162,COL,24.611,56,1048,6-3 7-6(4),3,R64,104,2,15,91,49,37,16,10,9,12,1,6,74,49,27,12,11,7,12
2026-toronto,Toronto,Hard,96,1000,O,20260802,37,202494,9,,Elina Svitolina,R,174,UKR,31.888,10,4351,222601,,,Jessica Bouzas Maneiro,R,,ESP,23.855,59,1014,6-7(5) 7-6(4) 6-4,3,R64,167,3,11,124,62,36,27,17,6,14,1,15,124,64,39,20,17,3,12
2026-toronto,Toronto,Hard,96,1000,O,20260802,38,215713,24,,Anastasia Potapova,R,175,RUS,25.342,27,1667,211817,,,Elena Gabriela Ruse,R,,ROU,28.736,75,941,6-4 6-2,3,R64,105,0,3,75,45,31,15,9,8,9,3,4,59,26,16,14,9,2,6
2026-toronto,Toronto,Hard,96,1000,O,20260802,39,223360,,,Nikola Bartunkova,R,,CZE,20.433,41,1231,220704,27,,Clara Tauson,R,182,DEN,23.614,30,1564,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
2026-toronto,Toronto,Hard,96,1000,O,20260802,40,216153,8,,Amanda Anisimova,R,180,USA,24.920,9,4353,222290,,Q,Lanlana Tararudee,R,,THA,22.070,78,916,W/O,3,R64,,,,,,,,,,,,,,,,,,,
2026-toronto,Toronto,Hard,96,1000,O,20260802,41,215872,,,Kamilla Rakhimova,R,170,UZB,24.928,82,894,211701,32,,Katerina Siniakova,R,174,CZE,30.229,36,1285,RET,3,R64,,,,,,,,,,,,,,,,,,,
2026-toronto,Toronto,Hard,96,1000,O,20260802,42,214939,17,,Anna Kalinskaya,R,175,RUS,27.666,20,2007,220520,,,Mccartney Kessler,R,,USA,27.069,47,1125,6-2 6-7(3) 6-4,3,R64,,,,,,,,,,,,,,,,,,,
2026-toronto,Toronto,Hard,96,1000,O,20260802,43,223670,15,,Diana Shnaider,L,,RUS,22.333,18,2458,211685,,Q,Rebecca Sramkova,R,,SVK,29.785,141,549,6-2 4-6 6-1,3,R64,105,2,5,89,65,46,13,13,2,3,3,2,70,35,21,18,12,4,8
2026-toronto,Toronto,Hard,96,1000,O,20260802,44,216146,10,,Marta Kostyuk,R,175,UKR,24.096,11,3925,214684,,WC,Katherine Sebov,R,173,CAN,27.573,231,331,7-6(4) 6-0,3,R64,78,5,7,56,22,16,18,9,2,5,0,6,57,39,17,7,9,1,7
2026-toronto,Toronto,Hard,96,1000,O,20260802,45,201619,19,,Madison Keys,R,178,USA,31.455,22,1964,222045,,,Antonia Ruzic,R,,CRO,23.532,55,1062,6-1 6-2,3,R64,81,6,6,55,34,24,12,8,6,7,1,3,60,40,21,5,7,9,14
2026-toronto,Toronto,Hard,96,1000,O,20260802,46,203530,,,Viktorija Golubic,R,169,SUI,33.793,51,1088,202499,31,,Donna Vekic,R,179,CRO,30.094,35,1326,5-7 6-2 6-3,3,R64,135,0,2,99,73,47,9,14,6,10,5,9,90,45,29,17,15,4,11
2026-toronto,Toronto,Hard,96,1000,O,20260802,47,216347,7,,Iga Swiatek,R,176,POL,25.172,8,4539,239383,,,Sara Bejlek,L,,CZE,20.501,38,1269,6-0 6-3,3,R64,94,1,1,72,55,35,8,7,10,11,0,4,59,37,18,7,8,6,12
