"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"29211217",2022,2,"WTA Tour",1641084000,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Burillo Escorihuela I.","Jani R-L.","313970","115828","","","","",1,2,0,6,1,6,4,"","","","","","",2.8,1.44,2.43,1.53,0,1,2,6,60,43,57,40,50,40,60,50
"83010383",2022,2,"WTA Tour",1641084000,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Eikeri U.","Bandecchi S.","964933","670831","","","","",1,2,0,6,2,6,3,"","","","","","",4.45,1.2,3.7,1.27,2,2,1,7,67,55,45,33,100,0,100,0
"76610367",2022,2,"WTA Tour",1641084000,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","McNally C.","Saville D.","520895","658597","","","","",2,0,2,3,6,4,6,"","","","","","",2.04,1.75,2,1.77,1,2,0,5,53,62,38,47,11,50,50,89
"97629736",2022,2,"WTA Tour",1641089400,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Marino R.","Kempenaers-Pocz C.","675084","300993","","","","",2,0,2,4,6,4,6,"","","","","","",1.08,8.5,1.15,5.4,4,4,2,3,71,74,26,29,0,33,67,100
"94875406",2022,2,"WTA Tour",1641090600,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Inglis M.","Bozovic A.","646421","526903","","","","",1,2,0,6,4,6,4,"","","","","","",1.48,2.6,1.55,2.4,5,3,1,6,69,56,44,31,60,33,67,40
"53223769",2022,2,"WTA Tour",1641090900,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Stefanini L.","Boulter K.","647835","970027","","","","",2,0,2,6,7,1,6,"","","","","","",4,1.25,3.1,1.36,0,4,4,10,51,56,44,49,40,50,50,60
"72429501",2022,2,"WTA Tour",1641094500,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Myers A.","Bronzetti L.","452436","152800","","","","",2,0,2,4,6,1,6,"","","","","","",5.7,1.13,4,1.22,1,1,10,5,43,56,44,57,33,50,50,67
"63504623",2022,2,"WTA Tour",1641097800,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Friedsam A-L.","Volodko K.","909013","693081","","","","",2,1,2,4,6,6,3,5,7,"","","","",1.53,2.38,1.6,2.25,5,1,6,9,55,54,46,45,67,64,36,33
"44189268",2022,2,"WTA Tour",1641099900,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bouzkova M.","Di Lorenzo F.","369605","703969","","","","",1,2,1,3,6,6,1,7,5,"","","","",1.13,6,1.22,4.2,0,0,5,5,54,48,52,46,62,55,45,38
"63748131",2022,2,"WTA Tour",1641105600,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Fetecau I.","Blinkova A.","892928","126226","","","","",2,1,2,6,4,4,6,5,7,"","","","",3.7,1.27,3.1,1.35,2,5,5,10,52,54,46,48,23,47,53,77
"26732431",2022,2,"WTA Tour",1641110400,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Papamichail D.","Jones F.","255338","794930","","","","",1,2,1,3,6,6,2,6,1,"","","","",3.35,1.32,2.9,1.4,0,1,3,8,64,52,48,36,75,75,25,25
"41804171",2022,2,"WTA Tour",1641116700,"02 Jan 2022","Adelaide WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Voegele S.","Maria T.","934936","913730","","","","",1,2,1,4,6,6,2,6,2,"","","","",1.38,2.95,1.47,2.63,6,4,1,5,62,49,51,38,40,50,50,60
"63857063",2022,2,"WTA Tour",1641168300,"03 Jan 2022","Melbourne (Summer Set 1) WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Birrell K.","Trevisan M.","851560","357952","","","","",1,2,1,6,3,4,6,6,3,"","","","",3.25,1.33,2.85,1.42,3,3,3,6,58,56,44,42,56,50,50,44
"14148251",2022,2,"WTA Tour",1641168300,"03 Jan 2022","Melbourne (Summer Set 1) WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bondar A.","Kung L.","610520","329751","","","","",1,2,0,6,3,6,2,"","","","","","",1.18,4.9,1.27,3.75,9,0,2,0,63,51,49,37,80,14,86,20
"12302734",2022,2,"WTA Tour",1641168300,"03 Jan 2022","Melbourne (Summer Set 2) WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Snigur D.","Dart H.","656660","805782","","","","",2,0,2,4,6,2,6,"","","","","","",1.75,2.03,1.8,1.9,1,0,4,3,49,65,35,51,50,38,62,50
"26067032",2022,2,"WTA Tour",1641168600,"03 Jan 2022","Melbourne (Summer Set 1) WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Yastremska D.","Pattinama Kerkhove L.","813190","113910","","","","",2,0,2,2,6,2,6,"","","","","","",1.19,4.75,1.28,3.65,4,3,3,4,47,63,37,53,20,50,50,80
